Region,SD
x_left_0,0.9675985700065659
x_left_1,1.1914161934742795
x_left_2,1.029155635091469
x_left_3,1.0284753011892436
x_left_5,0.7703018081692619
x_left_6,0.7827860078486176
x_left_7,0.45504774473458104
x_left_8,0.7052390428439549
x_left_9,0.44404951210628535
x_left_10,0.7471494429597941
x_left_11,0.883986848335329
x_left_12,0.4158915104441872
x_left_13,0.4480643181544483
x_left_14,0.8325380949618127
x_left_15,0.8901401369127313
x_left_16,1.2733562378394507
x_left_17,0.34211593210266145
x_left_18,0.24020269780844652
x_left_19,0.27497291832823473
x_left_20,0.4921224368936422
x_left_21,0.39517680569209285
x_left_22,0.38141639020814977
x_left_23,0.4890339976261189
x_left_24,0.5785206257156716
x_left_25,0.4852089899495942
x_left_26,0.5161121012123245
x_left_27,0.4020998171069928
x_left_28,0.3100373095240147
x_left_29,0.4557897324730453
x_left_30,0.4520463988409935
x_left_31,0.4187306108786298
x_left_32,0.3682901149787529
x_left_33,0.4421589557331914
x_left_34,0.38991309162464927
x_left_35,0.3944957592685799
x_left_36,0.43501752944100797
x_left_37,0.5513128700766983
x_left_38,0.3755724185986655
x_left_39,0.42686013395089
x_left_40,0.49212326270175855
x_left_41,0.39621188149481784
x_left_42,0.40113095600623455
x_left_43,0.40300171288134656
x_left_44,0.39531867465333986
x_left_45,0.5579017595336252
x_left_46,0.2974361725322779
x_left_47,0.48639884062247035
x_left_48,0.3138890836256057
x_left_49,0.2329411656011364
x_left_Amygdala_volume,185.1010913793905
x_right_0,0.8087718977501837
x_right_1,1.154752347257392
x_right_2,0.9803029549114153
x_right_3,0.8765921819070087
x_right_5,0.7933771591216121
x_right_6,0.7827002596252972
x_right_7,0.4146202658613499
x_right_8,0.6398785259338771
x_right_9,0.43479708287827723
x_right_10,0.71675764763505
x_right_11,0.6798352818798297
x_right_12,0.4206432545463393
x_right_13,0.4391069831078614
x_right_14,0.8248660138258487
x_right_15,0.8810762681015407
x_right_16,1.2055403213530533
x_right_17,0.36557992267975886
x_right_18,0.23013990535200965
x_right_19,0.2741089083611897
x_right_20,0.47707446686207133
x_right_21,0.372591098421153
x_right_22,0.41664091096408334
x_right_23,0.4695510377848623
x_right_24,0.5332040833790771
x_right_25,0.42848318803605195
x_right_26,0.4997436721438331
x_right_27,0.38314483120051535
x_right_28,0.292702407396742
x_right_29,0.368264007982051
x_right_30,0.39921999406318415
x_right_31,0.39760152809587573
x_right_32,0.35276534878552007
x_right_33,0.4557162812575129
x_right_34,0.25848824408575016
x_right_35,0.3851450391762721
x_right_36,0.3873675554877477
x_right_37,0.5021795484794218
x_right_38,0.3681074858752985
x_right_39,0.37948215637562915
x_right_40,0.30312577901663934
x_right_41,0.28139373506102955
x_right_42,0.38379138344201313
x_right_43,0.32023998745087134
x_right_44,0.310384055988222
x_right_45,0.3913879489907284
x_right_46,0.23954396310240167
x_right_47,0.4059435065711002
x_right_48,0.30431069374929753
x_right_49,0.20793525827012543
x_right_Amygdala_volume,173.75872471421323
